CHROM,pvalue
OTAU009829-RA,0.005931786
OTAU009445-RA,0.005940825
OTAU006635-RA,0.00598281
OTAU009643-RA,0.005981638
OTAU014135-RA,0.005987077
OTAU016964-RA,0.006010821
OTAU000095-RA,0.006033178
OTAU010757-RA,0.006028447
OTAU011870-RA,0.006046686
OTAU000901-RA,0.006078944
OTAU005015-RA,0.006085053
OTAU007546-RA,0.00608304
OTAU016666-RA,0.006082154
OTAU004756-RA,0.006098794
OTAU000445-RA,0.006169014
OTAU000410-RA,0.006193114
OTAU005433-RA,0.00620778
OTAU008843-RA,0.006209486
OTAU012460-RA,0.006210307
OTAU010401-RA,0.006241428
OTAU011339-RA,0.006339343
OTAU016838-RA,0.006341233
OTAU014656-RA,0.006373045
OTAU003553-RA,0.006388731
OTAU000698-RA,0.006440798
OTAU001288-RA,0.006434062
OTAU002940-RA,0.006459492
OTAU006669-RA,0.006460259
OTAU006807-RA,0.006464933
OTAU010775-RA,0.006477118
OTAU002271-RA,0.006518212
OTAU004799-RA,0.006515407
OTAU013938-RA,0.006527929
OTAU016693-RA,0.006586562
OTAU004842-RA,0.0067258
OTAU001274-RA,0.006802455
OTAU003413-RA,0.006777579
OTAU005547-RA,0.006770261
OTAU008118-RA,0.006752038
OTAU011028-RA,0.006797008
OTAU011269-RA,0.006789025
OTAU011863-RA,0.006782931
OTAU016413-RA,0.006760067
OTAU004326-RA,0.006815665
OTAU003684-RA,0.006836862
OTAU014797-RA,0.006863137
OTAU005694-RA,0.006874575
OTAU004437-RA,0.006908045
OTAU004576-RA,0.006924765
OTAU005717-RA,0.0069262
OTAU008511-RA,0.006904007
OTAU013579-RA,0.006919421
OTAU011164-RA,0.006941909
OTAU001941-RA,0.007065871
OTAU002738-RA,0.007074414
OTAU002822-RA,0.00708398
OTAU004598-RA,0.007063083
OTAU005870-RA,0.007043165
OTAU006813-RA,0.007079868
OTAU008217-RA,0.007038461
OTAU008346-RA,0.007050132
OTAU008893-RA,0.007004698
OTAU013232-RA,0.007031568
OTAU013695-RA,0.006986
OTAU014083-RA,0.007018128
OTAU002336-RA,0.007102956
OTAU004394-RA,0.007098392
OTAU007841-RA,0.007125854
OTAU012195-RA,0.0071838
OTAU002708-RA,0.007214627
OTAU003295-RA,0.007241189
OTAU003478-RA,0.007278868
OTAU013092-RA,0.007281675
OTAU016899-RA,0.007301065
OTAU014186-RA,0.007355559
OTAU003114-RA,0.007377107
OTAU010971-RA,0.007394368
OTAU016831-RA,0.007394203
OTAU009885-RA,0.007414518
OTAU014534-RA,0.007445187
OTAU016051-RA,0.007445966
OTAU005414-RA,0.007455778
OTAU000254-RA,0.007493476
OTAU002075-RA,0.007496791
OTAU015313-RA,0.007491819
OTAU010002-RA,0.007525712
OTAU000706-RA,0.007556074
OTAU000951-RA,0.007578741
OTAU003609-RA,0.007569706
OTAU007058-RA,0.007581095
OTAU010041-RA,0.007544572
OTAU011801-RA,0.007591001
OTAU002648-RA,0.007605387
OTAU005613-RA,0.007611407
OTAU011316-RA,0.007654668
OTAU012907-RA,0.00765232
OTAU014250-RA,0.007658446
OTAU015428-RA,0.007633203
OTAU011952-RA,0.007681557
OTAU012170-RA,0.007696706
OTAU014988-RA,0.007710366
OTAU014034-RA,0.007747659
OTAU002488-RA,0.007856051
OTAU003329-RA,0.007818003
OTAU004061-RA,0.007798029
OTAU007903-RA,0.007818768
OTAU011928-RA,0.007846544
OTAU014008-RA,0.007845883
OTAU016594-RA,0.007860157
OTAU016732-RA,0.007852833
OTAU016792-RA,0.007830127
OTAU004186-RA,0.007919212
OTAU004343-RA,0.007928516
OTAU008132-RA,0.007894328
OTAU008949-RA,0.00792812
OTAU013939-RA,0.007925989
OTAU015810-RA,0.007882971
OTAU017035-RA,0.007881318
OTAU004817-RA,0.007969609
OTAU008560-RA,0.007960885
OTAU013724-RA,0.007967159
OTAU001621-RA,0.007983604
OTAU001389-RA,0.008012553
OTAU005007-RA,0.00802851
OTAU006814-RA,0.008028359
OTAU011782-RA,0.008018645
OTAU010666-RA,0.00804213
OTAU007371-RA,0.008066098
OTAU009639-RA,0.008064486
OTAU017374-RA,0.008080263
OTAU006477-RA,0.00811978
OTAU010780-RA,0.008126228
OTAU016394-RA,0.00811954
OTAU016800-RA,0.008103978
OTAU010581-RA,0.008137952
OTAU000218-RA,0.008175138
OTAU015154-RA,0.008181007
OTAU016642-RA,0.008183213
OTAU010189-RA,0.008210946
OTAU008863-RA,0.008225407
OTAU003758-RA,0.008260292
OTAU000868-RA,0.008375669
OTAU008206-RA,0.008381272
OTAU000900-RA,0.008391835
OTAU002207-RA,0.008470255
OTAU002582-RA,0.008469433
OTAU002704-RA,0.008445536
OTAU004414-RA,0.008465186
OTAU006027-RA,0.008474434
OTAU009873-RA,0.008419864
OTAU012489-RA,0.00844093
OTAU003303-RA,0.008500468
OTAU003845-RA,0.008502403
OTAU002789-RA,0.008584576
OTAU003400-RA,0.008652864
OTAU004401-RA,0.00864814
OTAU005231-RA,0.008560977
OTAU005369-RA,0.008573886
